country,nationality,,,,
Afghanistan,Afghan,,,,
Albania,Albanian,,,,
Algeria,Algerian,,,,
United States of America,American,,,,
Andorra,Andorran,,,,
Angola,Angolan,,,,
Argentina,Argentine,,,,
Armenia,Armenian,,,,
Australia,Australian,,,,
Austria,Austrian,,,,
Azerbaijan,Azerbaijani,,,,
Bahamas,Bahamian,,,,
Bahrain,Bahraini,,,,
Bangladesh,Bangladeshi,,,,
Barbados,Barbadian,,,,
Belarus,Belarusian or Belarusan,,,,
Belgium,Belgian,,,,
Belize,Belizian,,,,
Benin,Beninese,,,,
Bhutan,Bhutanese,,,,
Botswana,Botswanan,,,,
Bolivia,Bolivian,,,,
Bosnia-Herzegovina,Bosnian,,,,
Brazil,Brazilian,,,,
Britain,British,,,,
Bulgaria,Bulgarian,,,,
Burundi,Burundian,,,,
Burkina,Burkinabe,,,,
Cambodia,Cambodian,,,,
Cameroon,Cameroonian,,,,
Canada,Canadian,,,,
Canada,Canadian Inuit,,,,
,Catalan,,,,
Chad,Chadian,,,,
Chile,Chilean,,,,
China,Chinese,,,,
Colombia,Colombian,,,,
Congo,Congolese,,,,
Costa Rica,Costa Rican,,,,
,Coptic,,,,
Croatia,Croatian,,,,
Cuba,Cuban,,,,
Cyprus,Cypriot,,,,
Czech Republic,Czech,,,,
,Czechoslovakian,,,,
Denmark,Danish,,,,
Djibouti,Djiboutian,,,,
Dominica,Dominican,,,,
Dominican Republic,Dominican,,,,
Netherlands,Dutch,,,,
Ecuador,Ecuadorean,,,,
Egypt,Egyptian,,,,
El Salvador,Salvadorean,,,,
Ecuador,Ecuadorian,,,,
,Emirati,,,,
Eritrea,Eritrean,,,,
Estonia,Estonian,,,,
Ethiopia,Ethiopian,,,,
Fiji,Fijian,,,,
Finland,Finnish,,,,
France,French,,,,
Gabon,Gabonese,,,,
Georgia,Georgian,,,,
Germany,German,,,,
Ghana,Ghanaian,,,,
Greece,Greek,,,,
Grenada,Grenadian,,,,
Guatemala,Guatemalan,,,,
Guinea,Guinean,,,,
Guyana,Guyanese,,,,
Haiti,Haitian,,,,
Honduras,Honduran,,,,
Hungary,Hungarian,,,,
Iceland,Icelandic,,,,
India,Indian,,,,
Indonesia,Indonesian,,,,
Iran,Iranian,,,,
Iraq,Iraqi,,,,
"Ireland, Republic of",Israeli,,,,
Italy,Italian,,,,
Ivory Coast,Ivorian,,,,
Ireland,Irish,,,,
Jamaica,Jamaican,,,,
Japan,Japanese,,,,
Jordan,Jordanian,,,,
Kazakhstan,Kazakh,,,,
Kenya,Kenyan,,,,
Kuwait,Kuwaiti,,,,
South Korean,Korean,,,,
Kyrgyzstan,Kyrgyzstani,,,,
Latvia,Latvian,,,,
Lebanon,Lebanese,,,,
Liberia,Liberian,,,,
Libya,Libyan,,,,
Liechtenstein,-,,,,
Lithuania,Lithuanian,,,,
Luxembourg,Luxembourgish,,,,
Macedonia,Macedonian,,,,
Madagascar,Malagasy or Madagascan,,,,
Malawi,Malawian,,,,
Malaysia,Malaysian,,,,
Maldives,Maldivian,,,,
Mali,Malian,,,,
Malta,Maltese,,,,
Mauritania,Mauritanian,,,,
Mauritius,Mauritian,,,,
Mexico,Mexican,,,,
Moldova,Moldovan,,,,
Monaco,Monégasque or Monacan,,,,
Mongolia,Mongolian,,,,
Montenegro,Montenegrin,,,,
Morocco,Moroccan,,,,
Mozambique,Mozambican,,,,
United States of America,Native American,,,,
Namibia,Namibian,,,,
Nepal,Nepalese,,,,
New Zealand,New Zealander,,,,
Nicaragua,Nicaraguan,,,,
Niger,Nigerien,,,,
Nigeria,Nigerian,,,,
North Korea,North Korean,,,,
Norway,Norwegian,,,,
Oman,Omani,,,,
Pakistan,Pakistani,,,,
Panama,Panamanian,,,,
Papua New Guinea,Papua New Guinean,,,,
Papua New Guinea,Guinean,,,,
Palestine,Palestinian,,,,
Paraguay,Paraguayan,,,,
Peru,Peruvian,,,,
Persia,Persian,,,,
United States of America,Puerto Rican,,,,
Poland,Polish,,,the Philippines,Philippine or Filipino
Portugal,Portuguese,,,,
Qatar,Qatari,,,,
Romania,Romanian,,,,
Rwanda,Rwandan,,,,
Russia,Russian,,,,
Sahrawi,Sahrawi,,,,
Saudi Arabia,Saudi Arabian or Saudi,,,,
Scotland,Scottish,,,,
Senegal,Senegalese,,,,
Serbia,Serb or Serbian,,,,
Sierra Leone,Sierra Leonean,,,,
Singapore,Singaporean,,,,
Slovakia,Slovak,,,,
Slovenia,Slovenian,,,,
Serbia,Serbian,,,,
Somalia,Somali,,,,
South Africa,South African,,,,
Spain,Spanish,,,,
Sri Lanka,Sri Lankan,,,,
Sudan,Sudanese,,,,
Suriname,Surinamese,,,,
Sweden,Swedish,,,,
Switzerland,Swiss,,,,
Syria,Syrian,,,,
Taiwan,Taiwanese,,,,
Tajikistan,Tanzanian,,,,
Tanzania,Tajik or Tadjik,,,,
Thailand,Thai,,,,
Togo,Togolese,,,,
Trinidad and Tobago,Trinidadian,,,,
Tunisia,Tunisian,,,,
Turkey,Turkish,,,,
Turkmenistan,Turkmen or Turkoman,,,,
Uganda,Ugandan,,,,
Ukraine,Ukrainian,,,,
Uruguay,Uruguayan,,,,
Uzbekistan,Uzbek,,United Arab Emirates (UAE),Emirati,
Venezuela,Venezuelan,,,,
Vietnam,Vietnamese,,United Kingdom,British,
Wales,Welsh,,,,
Yemen,Yemeni,,,,
Yugoslavia,Yugoslav,,,,
Zambia,Zambian,,,,
Zimbabwe,Zimbabwean,,,,
Unknown,Nationality unknown,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
