,Creation
0,1896
1,1987
2,1903
3,1980
4,1903
5,1976
6,1976
7,1976
8,1976
9,1976
10,1976
11,1976
12,1976
13,1976
14,1976
15,1976
16,1976
17,1976
18,1976
19,1976
20,1976
21,1976
22,1976
23,1976
24,1976
25,1976
26,1976
27,1976
28,1976
29,1976
30,1968
31,1980
32,1900
33,1978
34,1905
35,1980
36,1906
37,1979
38,1979
39,1979
40,1980
41,1979
42,1979
43,1979
44,1979
45,1979
46,1979
47,1980
48,1980
49,1980
50,1980
51,1980
52,1980
53,1980
54,1980
55,1980
56,1980
57,1980
58,1980
59,1980
60,1980
61,1980
62,1980
63,1918
64,1970
65,1975
66,1987
67,1979
68,1984
69,1979
70,1986
71,1979
72,1978
73,1978
74,1978
75,1978
76,1974
77,Unknown
78,1917
79,1917
80,1917
81,1917
82,1917
83,1917
84,1923
85,1923
86,1923
87,1923
88,Unknown
89,Unknown
90,Unknown
91,Unknown
92,Unknown
93,Unknown
94,1930
95,1936
96,Unknown
97,1935
98,1935
99,1935
100,1935
101,1935
102,1935
103,Unknown
104,Unknown
105,Unknown
106,Unknown
107,1937
108,1937
109,1937
110,1938
111,1938
112,1938
113,1938
114,1977
115,1977
116,1935
117,1977
118,Unknown
119,1958
120,1980
121,Unknown
122,1984
123,Unknown
124,1985
125,1936
126,1986
127,1936
128,1986
129,1936
130,1986
131,1936
132,1986
133,1936
134,1986
135,Unknown
136,1986
137,1936
138,1986
139,Unknown
140,1989
141,Unknown
142,1949
143,Unknown
144,1958
145,Unknown
146,1935
147,1935
148,1935
149,1935
150,1979
151,1989
152,1991
153,1980
154,1975
155,1941
156,1941
157,1941
158,1941
159,1987
160,1965
161,1978
162,1981
163,1981
164,1983
165,1975
166,1979
167,1985
168,1985
169,1985
170,1989
171,1992
172,1992
173,1992
174,1992
175,1992
176,1992
177,1992
178,1923
179,1992
180,1992
181,1992
182,1992
183,1992
184,1983
185,1915
186,1915
187,1915
188,1915
189,1915
190,1915
191,1915
192,1915
193,1915
194,1915
195,1953
196,1953
197,1992
198,1910
199,1970
200,1986
201,1985
202,1985
203,Unknown
204,1982
205,1982
206,1945
207,Unknown
208,1945
209,Unknown
210,Unknown
211,1982
212,Unknown
213,1985
214,1985
215,Unknown
216,1984
217,Unknown
218,1986
219,1985
220,1985
221,1985
222,1984
223,1984
224,1923
225,1974
226,1923
227,1923
228,1953
229,1938
230,1974
231,1938
232,1938
233,1938
234,1938
235,1938
236,1938
237,1979
238,1987
239,1987
240,1987
241,1990
242,1981
243,1976
244,1995
245,1995
246,1975
247,1927
248,1929
249,1964
250,1964
251,1959
252,1918
253,1918
254,1939
255,1977
256,1977
257,1980
258,1976
259,1976
260,1976
261,1975
262,1976
263,1979
264,1975
265,1979
266,1938
267,1938
268,1938
269,1992
270,1992
271,1992
272,1989
273,1989
274,1989
275,1989
276,1993
277,1989
278,1991
279,Unknown
280,1991
281,1991
282,1991
283,1991
284,1991
285,1991
286,1991
287,1991
288,1989
289,1996
290,1988
291,1992
292,1985
293,1985
294,1985
295,1982
296,1982
297,1982
298,1982
299,1982
300,1982
301,1982
302,1982
303,1982
304,1982
305,1982
306,1982
307,1982
308,1982
309,1982
310,1982
311,1982
312,1982
313,1982
314,1982
315,1982
316,1952
317,1990
318,1921
319,1957
320,1972
321,1956
322,1972
323,1924
324,1962
325,1924
326,1957
327,1924
328,1957
329,1972
330,1925
331,1957
332,1972
333,1957
334,1972
335,1957
336,1972
337,1957
338,1972
339,1960
340,1984
341,1972
342,1958
343,1979
344,1972
345,1958
346,1979
347,1972
348,1958
349,1969
350,1979
351,1972
352,1958
353,1969
354,1991
355,1972
356,1958
357,1969
358,1989
359,1972
360,1958
361,1963
362,1994
363,1972
364,1958
365,1994
366,1972
367,1958
368,1991
369,1972
370,1959
371,1979
372,1990
373,1969
374,1969
375,1979
376,1993
377,1976
378,1960
379,1979
380,1994
381,1976
382,Unknown
383,1985
384,1989
385,1976
386,1962
387,1985
388,1994
389,1976
390,1962
391,1985
392,1984
393,1976
394,1962
395,1985
396,1992
397,1976
398,1960
399,1985
