nationality,continent
Afghan,Asia
Albanian,Europe
Algerian,Africa
American,North America
Andorran,Europe
Angolan,Africa
Argentine,South America
Armenian,Asia
Australian,Oceania
Austrian,Europe
Azerbaijani,Asia
Bahamian,North America
Bahraini,Asia
Bangladeshi,Asia
Barbadian,North America
Belarusian or Belarusan,Europe
Belgian,Europe
Belizian,North America
Beninese,Africa
Bhutanese,Asia
Botswanan,Africa
Bolivian,South America
Bosnian,Europe
Brazilian,South America
British,Europe
Bulgarian,Europe
Burundian,Africa
Burkinabe,Africa
Cambodian,Asia
Cameroonian,Africa
Canadian,North America
Canadian Inuit,North America
Catalan,Europe
Chadian,Africa
Chilean,South America
Chinese,Asia
Colombian,South America
Congolese,Africa
Costa Rican,North America
Coptic,Africa
Croatian,Europe
Cuban,North America
Cypriot,Asia
Czech,Europe
Czechoslovakian,Europe
Danish,Europe
Djiboutian,Africa
Dominican,North America
Dominican,North America
Dutch,European
Ecuadorean,South America
Egyptian,Africa
Salvadorean,North America
Ecuadorian,South America
Emirati,Asia
Eritrean,Africa
Estonian,Europe
Ethiopian,Africa
Fijian,Oceania
Finnish,Europe
French,Europe
Gabonese,Africa
Georgian,Asia
German,Europe
Ghanaian,Africa
Greek,Europe
Grenadian,North America
Guatemalan,North America
Guinean,Africa
Guyanese,South America
Haitian,North America
Honduran,North America
Hungarian,Europe
Icelandic,Europe
Indian,Asia
Indonesian,Asia
Iraqi,Asia
Israeli,Asia
Italian,Europe
Iranian,Asia
Ivorian,Africa
Irish,Europe
Jamaican,North America
Japanese,Asia
Jordanian,Asia
Kazakh,Asia
Kenyan,Africa
Kuwaiti,Asia
Korean,Asia
Kyrgyzstani,Asia
Latvian,Europe
Lebanese,Asia
Liberian,Africa
Libyan,Africa
Luxembourgish,Europe
-,Europe
Lithuanian,Europe
-,Europe
Macedonian,Europe
Malagasy or Madagascan,Africa
Malawian,Africa
Malaysian,Asia
Maldivian,Asia
Malian,Africa
Maltese,Europe
Mauritanian,Africa
Mauritian,Africa
Mexican,North America
Monégasque or Monacan,Europe
Mongolian,Asia
Montenegrin,Europe
Moroccan,Africa
Mozambican,Africa
Native American,North America
Namibian,Africa
Nepalese,Asia
New Zealander,Oceania
Nicaraguan,North America
Nigerien,Africa
Nigerian,Africa
Norwegian,Europe
Omani,Asia
Pakistani,Asia
Panamanian,North America
Papua New Guinean,Oceania
Guinean,Oceania
Palestinian,Asia
Paraguayan,South America
Peruvian,South America
Persian,Asia
Puerto Rican,North America
Polish,Europe
Portuguese,Europe
Qatari,Asia
Romanian,Europe
Rwandan,Africa
Russian,Europe
Sahrawi,Asia
Saudi Arabian or Saudi,Asia
Senegalese,Africa
Serb or Serbian,Europe
Sierra Leonean,Africa
Singaporean,Asia
Slovak,Europe
Slovenian,Europe
-,Oceania
Scottish,Europe
Serbian,Europe
Somali,Africa
South African,Africa
Spanish,Europe
Sri Lankan,Asia
Sudanese,Africa
Surinamese,South America
Swedish,Europe
Swiss,Europe
Taiwanese,Asia
Tanzanian,Africa
Tajik or Tadjik,Asia
Thai,Asia
Togolese,Africa
Trinidadian,North America
Tunisian,Africa
Turkish,Asia
Turkmen or Turkoman,Asia
Ugandan,Africa
Ukrainian,Europe
Uruguayan,South America
Uzbek,Asia
Venezuelan,South America
Vietnamese,Asia
Welsh,Europe
Yemeni,Asia
Yugoslav,Europe
Zambian,Africa
Zimbabwean,Africa
Nationality unknown,Unknown
