,Title,Artist,Nationality,Year,Years,Decades
63,"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",Hans Poelzig,(German),,1966,1960
110,"Palais de la Découverte Project, Paris, France (Elevation)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),,1966,1960
111,"Palais de la Découverte Project, Paris, France (Longitudinal section)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),,1966,1960
112,"Palais de la Découverte Project, Paris, France (Aerial perspective)","Paul Nelson, Oscar Nitzchke, Frantz Jourdain",(American) (American) (French),,1966,1960
113,"Palais de la Découverte Project, Paris, France (Plan of upper level and exhibits)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),,1966,1960
119,Helium Bridge Project,Paolo Soleri,(American),,1966,1960
249,"Transplantation I, Perspective and plan",Raimund Abraham,(American),,1965,1960
250,"Linear City Project, Perspective",Raimund Abraham,(American),,1965,1960
251,"Floating Compression Column,",Kenneth Snelson,(American),,1965,1960
316,"City Tower project, Philadelphia, PA (Perspective sketch)","Louis I. Kahn, Ann Tyng",(American) (American),,1967,1960
318,"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Elevation study)",Ludwig Mies van der Rohe,(American),,1966,1960
319,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketch",Louis I. Kahn,(American),,1967,1960
321,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketches",Louis I. Kahn,(American),,1967,1960
323,"Endless Theatre Project, Plan",Frederick Kiesler,(American),,1966,1960
324,"Market Street East Studies, project, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),,1967,1960
325,"Endless Theatre Project, Plan",Frederick Kiesler,(American),,1966,1960
326,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Plans and elevations of service towers, preliminary version",Louis I. Kahn,(American),,1967,1960
327,"Endless Theater Project, Section",Frederick Kiesler,(American),,1966,1960
328,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Phidadelphia, Pennsylvania, Plan",Louis I. Kahn,(American),,1967,1960
330,"Place de la Concorde Project, Paris, France, Elevation",Frederick Kiesler,(American),,1966,1960
331,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennslylvania, Philadelphia, Pennsylvania, Preliminary version: perspective",Louis I. Kahn,(American),,1967,1960
333,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Elevation",Louis I. Kahn,(American),,1967,1960
335,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),,1967,1960
337,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),,1967,1960
